7
GHkmEbaPVY WUImxp_BTU ciA_IAAmIO eFGyKBFciz fjfDY_DbzE iHgTHwPipu yCvIxHcUzZ
ciA_IAAmIO - iHgTHwPipu : 8 - 3
ciA_IAAmIO - yCvIxHcUzZ : 7 - 7
eFGyKBFciz - GHkmEbaPVY : 0 - 3
eFGyKBFciz - WUImxp_BTU : 2 - 1
eFGyKBFciz - ciA_IAAmIO : 2 - 2
eFGyKBFciz - fjfDY_DbzE : 8 - 8
eFGyKBFciz - iHgTHwPipu : 5 - 9
eFGyKBFciz - yCvIxHcUzZ : 0 - 6
fjfDY_DbzE - GHkmEbaPVY : 2 - 10
fjfDY_DbzE - WUImxp_BTU : 4 - 10
fjfDY_DbzE - ciA_IAAmIO : 9 - 6
fjfDY_DbzE - eFGyKBFciz : 6 - 6
fjfDY_DbzE - iHgTHwPipu : 8 - 8
fjfDY_DbzE - yCvIxHcUzZ : 9 - 4
iHgTHwPipu - GHkmEbaPVY : 1 - 7
iHgTHwPipu - WUImxp_BTU : 9 - 1
iHgTHwPipu - ciA_IAAmIO : 3 - 3
iHgTHwPipu - eFGyKBFciz : 2 - 7
iHgTHwPipu - fjfDY_DbzE : 1 - 10
iHgTHwPipu - yCvIxHcUzZ : 2 - 3
yCvIxHcUzZ - GHkmEbaPVY : 2 - 9
yCvIxHcUzZ - WUImxp_BTU : 2 - 1
yCvIxHcUzZ - ciA_IAAmIO : 5 - 6
yCvIxHcUzZ - eFGyKBFciz : 9 - 6
yCvIxHcUzZ - fjfDY_DbzE : 2 - 1
yCvIxHcUzZ - iHgTHwPipu : 0 - 6
